new.Symbol,new.EGID,new.Uniprot
ILK,3611,Q13418
INSR,3643,P06213
INSRR,3645,P14616
IP6K1,9807,Q92551
IP6K2,51447,Q9UHH9
IP6K3,117283,Q96PC2
IPMK,253430,Q8NFU5
IPPK,64768,Q9H8X2
IRAK1,3654,P51617
IRAK2,3656,O43187
IRAK3,11213,Q9Y616
IRAK4,51135,Q9NWZ3
ITK,3702,Q08881
ITPK1,3705,Q13572
ITPKA,3706,P23677
ITPKB,3707,P27987
ITPKC,80271,Q96DU7
JAK1,3716,P23458
JAK2,3717,O60674
JAK3,3718,P52333
KALRN,8997,O60229
KCNH1,3756,O95259
KCNH2,3757,Q12809
KCNH3,23416,Q9ULD8
KCNH4,23415,Q9UQ05
KCNH5,27133,Q8NCM2
KCNH8,131096,Q96L42
KDR,3791,P35968
KHK,3795,P50053
KIT,3815,P10721
KNDC1,85442,Q76NI1
KSR1,8844,Q8IVT5
KSR2,283455,Q6VAB6
LATS1,9113,O95835
LATS2,26524,Q9NRM7
LCK,3932,P06239
LGR4,55366,Q9BXB1
LGR5,8549,O75473
LGR6,59352,Q9HBX8
LIMK1,3984,P53667
LIMK2,3985,P53671
LMTK2,22853,Q8IWU2
LMTK3,114783,Q96Q04
LRGUK,136332,Q96M69
LRRK1,79705,Q38SD2
LRRK2,120892,Q5S007
LTBP1,4052,Q14766
LTBP4,8425,Q8N2S1
LTK,4058,P29376
LYN,4067,P07948
MAGI3,260425,Q5TCQ9
MAK,4117,P20794
MAP2K1,5604,Q02750
MAP2K2,5605,P36507
MAP2K3,5606,P46734
MAP2K4,6416,P45985
MAP2K5,5607,Q13163
MAP2K6,5608,P52564
MAP2K7,5609,O14733
MAP3K1,4214,Q13233
MAP3K10,4294,Q02779
MAP3K11,4296,Q16584
MAP3K12,7786,Q12852
MAP3K13,9175,O43283
MAP3K14,9020,Q99558
MAP3K15,389840,Q6ZN16
MAP3K19,80122,Q56UN5
MAP3K2,10746,Q9Y2U5
MAP3K3,4215,Q99759
MAP3K4,4216,Q9Y6R4
MAP3K5,4217,Q99683
MAP3K6,9064,O95382
MAP3K7,6885,O43318
MAP3K8,1326,P41279
MAP3K9,4293,P80192
MAP4K1,11184,Q92918
MAP4K2,5871,Q12851
MAP4K3,8491,Q8IVH8
MAP4K4,9448,O95819
MAP4K5,11183,Q9Y4K4
MAPK1,5594,P28482
MAPK10,5602,P53779
MAPK11,5600,Q15759
MAPK12,6300,P53778
MAPK13,5603,O15264
MAPK14,1432,Q16539
MAPK15,225689,Q8TD08
MAPK3,5595,P27361
MAPK4,5596,P31152
MAPK6,5597,Q16659
MAPK7,5598,Q13164
MAPK8,5599,P45983
MAPK9,5601,P45984
MAPKAPK2,9261,P49137
MAPKAPK3,7867,Q16644
MAPKAPK5,8550,Q8IW41
MARK1,4139,Q9P0L2
MARK2,2011,Q7KZI7
MARK3,4140,P27448
MARK4,57787,Q96L34
MAST1,22983,Q9Y2H9
MAST2,23139,Q6P0Q8
MAST3,23031,O60307
MAST4,375449,O15021
MASTL,84930,Q96GX5
MATK,4145,P42679
MELK,9833,Q14680
MERTK,10461,Q12866
MET,4233,P08581
MINK1,50488,Q8N4C8
MKNK1,8569,Q9BUB5
MKNK2,2872,Q9HBH9
MLKL,197259,Q8NB16
MNAT1,4331,P51948
MOK,5891,Q9UQ07
MOS,4342,P00540
MPP1,4354,Q00013
MPP2,4355,Q14168
MPP3,4356,Q13368
MST1R,4486,Q04912
MTOR,2475,P42345
MUSK,4593,O15146
MVK,4598,Q03426
MYLK,4638,Q15746
MYLK2,85366,Q9H1R3
MYLK3,91807,Q32MK0
MYLK4,340156,Q86YV6
MYO3A,53904,Q8NEV4
MYO3B,140469,Q8WXR4
N4BP2,55728,Q86UW6
NADK,65220,O95544
NADK2,133686,Q4G0N4
NAGK,55577,Q9UJ70
NEK1,4750,Q96PY6
NEK10,152110,Q6ZWH5
NEK11,79858,Q8NG66
NEK2,4751,P51955
NEK3,4752,P51956
NEK4,6787,P51957
NEK5,341676,Q6P3R8
NEK6,10783,Q9HC98
NEK7,140609,Q8TDX7
NEK8,284086,Q86SG6
NEK9,91754,Q8TD19
NLK,51701,Q9UBE8
NME1,4830,P15531
NME2,4831,P22392
NME2P1,283458,O60361
NME3,4832,Q13232
NME4,4833,O00746
NME5,8382,P56597
NME6,10201,O75414
NME7,29922,Q9Y5B8
NME8,51314,Q8N427
NME9,347736,Q86XW9
NMRK1,54981,Q9NWW6
NMRK2,27231,Q9NPI5
NOL9,79707,Q5SY16
NPR1,4881,P16066
NPR2,4882,P20594
NPRL2,10641,Q8WTW4
NRBP1,29959,Q9UHY1
NRK,203447,Q7Z2Y5
NRP1,8829,O14786
NRP2,8828,O60462
NT5C2,22978,P49902
NTRK1,4914,P04629
NTRK2,4915,Q16620
NTRK3,4916,Q16288
NUAK1,9891,O60285
NUAK2,81788,Q9H093
OBSCN,84033,Q5VST9
OXSR1,9943,O95747
PAK1,5058,Q13153
PAK2,5062,Q13177
PAK3,5063,O75914
PAK4,10298,O96013
PAK6,56924,Q9NQU5
PAK7,57144,Q9P286
PAN3,255967,Q58A45
PANK1,53354,Q8TE04
PANK2,80025,Q9BZ23
PANK3,79646,Q9H999
PANK4,55229,Q9NVE7
PAPSS1,9061,O43252
PAPSS2,9060,O95340
PASK,23178,Q96RG2
PBK,55872,Q96KB5
PDGFRA,5156,P16234
PDGFRB,5159,P09619
PDGFRL,5157,Q15198
PDIK1L,149420,Q8N165
PDK1,5163,Q15118
PDK2,5164,Q15119
PDK3,5165,Q15120
PDK4,5166,Q16654
PDPK1,5170,O15530
PDXK,8566,O00764
PEAK1,79834,Q9H792
PFKFB1,5207,P16118
PFKFB2,5208,O60825
PFKFB3,5209,Q16875
PFKFB4,5210,Q16877
PFKL,5211,P17858
PFKM,5213,P08237
PFKP,5214,Q01813
PGK1,5230,P00558
PGK2,5232,P07205
PGM2L1,283209,Q6PCE3
PHKA1,5255,P46020
PHKA2,5256,P46019
PHKG1,5260,Q16816
PHKG2,5261,P15735
PI4K2A,55361,Q9BTU6
PI4K2B,55300,Q8TCG2
PI4KA,5297,P42356
PI4KAP2,375133,A4QPH2
PI4KB,5298,Q9UBF8
PIK3C2A,5286,O00443
PIK3C2B,5287,O00750
PIK3C2G,5288,O75747
PIK3C3,5289,Q8NEB9
PIK3CA,5290,P42336
PIK3CB,5291,P42338
PIK3CD,5293,O00329
PIK3CG,5294,P48736
PIK3R1,5295,P27986
PIK3R2,5296,O00459
PIK3R3,8503,Q92569
PIK3R4,30849,Q99570
PIK3R6,146850,Q5UE93
PIKFYVE,200576,Q9Y2I7
PIM1,5292,P11309
PIM2,11040,Q9P1W9
PIM3,415116,Q86V86
PINK1,65018,Q9BXM7
PIP4K2A,5305,P48426
PIP4K2B,8396,P78356
PIP4K2C,79837,Q8TBX8
PIP5K1A,8394,Q99755
PIP5K1B,8395,O14986
PIP5K1C,23396,O60331
PIP5KL1,138429,Q5T9C9
PIPSL,266971,A2A3N6
PKDCC,91461,Q504Y2
PKLR,5313,P30613
PKM,5315,P14618
PKMYT1,9088,Q99640
PKN1,5585,Q16512
PKN2,5586,Q16513
PKN3,29941,Q6P5Z2
PLK1,5347,P53350
PLK2,10769,Q9NYY3
PLK3,1263,Q9H4B4
PLK4,10733,O00444
PLK5,126520,Q496M5
PMS2P1,5379,A4D2B8
PMVK,10654,Q15126
PNCK,139728,Q6P2M8
PNKP,11284,Q96T60
POMK,84197,Q9H5K3
PPIP5K1,9677,Q6PFW1
PPIP5K2,23262,O43314
PPP4C,5531,P60510
PRKAA1,5562,Q13131
PRKAA2,5563,P54646
PRKAB1,5564,Q9Y478
PRKAB2,5565,O43741
PRKACA,5566,P17612
PRKACB,5567,P22694
PRKACG,5568,P22612
PRKAG1,5571,P54619
PRKAG3,53632,Q9UGI9
PRKAR1A,5573,P10644
PRKCA,5578,P17252
PRKCB,5579,P05771
PRKCD,5580,Q05655
PRKCE,5581,Q02156
PRKCG,5582,P05129
PRKCH,5583,P24723
PRKCI,5584,P41743
PRKCQ,5588,Q04759
PRKCZ,5590,Q05513
PRKD1,5587,Q15139
PRKD2,25865,Q9BZL6
PRKD3,23683,O94806
PRKDC,5591,P78527
PRKG1,5592,Q13976
PRKG2,5593,Q13237
PRKX,5613,P51817
PRKY,5616,O43930
PRPF4B,8899,Q13523
PRPS1,5631,P60891
PRPS1L1,221823,P21108
PRPS2,5634,P11908
PSKH1,5681,P11801
PSKH2,85481,Q96QS6
PSTK,118672,Q8IV42
PTK2,5747,Q05397
PTK2B,2185,Q14289
PTK6,5753,Q13882
PTK7,5754,Q13308
RAF1,5894,P04049
RBKS,64080,Q9H477
RELN,5649,P78509
RET,5979,P07949
RFK,55312,Q969G6
RIOK1,83732,Q9BRS2
RIOK2,55781,Q9BVS4
RIOK3,8780,O14730
RIPK1,8737,Q13546
RIPK2,8767,O43353
RIPK3,11035,Q9Y572
RIPK4,54101,P57078
RNASEL,6041,Q05823
ROCK1,6093,Q13464
ROCK2,9475,O75116
ROR1,4919,Q01973
ROR2,4920,Q01974
ROS1,6098,P08922
RP2,6102,O75695
RPS6KA1,6195,Q15418
RPS6KA2,6196,Q15349
RPS6KA3,6197,P51812
RPS6KA4,8986,O75676
RPS6KA5,9252,O75582
RPS6KA6,27330,Q9UK32
RPS6KB1,6198,P23443
RPS6KB2,6199,Q9UBS0
